Accession	Virus_Name	NCBI_Taxonomy	Viruses	Realm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species
NP_040980	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040981	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040982	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040983	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040984	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_040987	Influenza A virus (A/Puerto Rico/8/1934(H1N1))	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Alphainfluenzavirus	-	Alphainfluenzavirus influenzae
NP_056658	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056659	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056660	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056661	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056662	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056663	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056664	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056665	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_056666	Influenza B virus (B/Lee/1940)	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Polyploviricotina;Insthoviricetes;Articulavirales;Orthomyxoviridae;Betainfluenzavirus;Betainfluenzavirus influenzae	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Polyploviricotina	Insthoviricetes	-	Articulavirales	-	Orthomyxoviridae	-	Betainfluenzavirus	-	Betainfluenzavirus influenzae
NP_039809	Artichoke mottled crinkle virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae;Procedovirinae;Tombusvirus;Tombusvirus cynarae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Tolucaviricetes	-	Tolivirales	-	Tombusviridae	Procedovirinae	Tombusvirus	-	Tombusvirus cynarae
NP_039810	Artichoke mottled crinkle virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae;Procedovirinae;Tombusvirus;Tombusvirus cynarae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Tolucaviricetes	-	Tolivirales	-	Tombusviridae	Procedovirinae	Tombusvirus	-	Tombusvirus cynarae
NP_039812	Artichoke mottled crinkle virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Tolucaviricetes;Tolivirales;Tombusviridae;Procedovirinae;Tombusvirus;Tombusvirus cynarae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Tolucaviricetes	-	Tolivirales	-	Tombusviridae	Procedovirinae	Tombusvirus	-	Tombusvirus cynarae
NP_039818	Commelina yellow mottle virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus;Badnavirus maculacommelinae	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_039819	Commelina yellow mottle virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus;Badnavirus maculacommelinae	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_039820	Commelina yellow mottle virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae;Badnavirus;Badnavirus maculacommelinae	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_039821	Duck hepatitis B virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Avihepadnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_039823	Duck hepatitis B virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae;Avihepadnavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056767	Potato virus M	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Quinvirinae;Carlavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Quinvirinae	Carlavirus	-	-
NP_056768	Potato virus M	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Quinvirinae;Carlavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Quinvirinae	Carlavirus	-	-
NP_056769	Potato virus M	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Quinvirinae;Carlavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Quinvirinae	Carlavirus	-	-
NP_056770	Potato virus M	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Quinvirinae;Carlavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Quinvirinae	Carlavirus	-	-
NP_056771	Potato virus M	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Quinvirinae;Carlavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Quinvirinae	Carlavirus	-	-
NP_056772	Potato virus M	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Quinvirinae;Carlavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Quinvirinae	Carlavirus	-	-
NP_040332	Friend murine leukemia virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Murine leukemia virus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040334	Friend murine leukemia virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Gammaretrovirus;Murine leukemia virus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056802	Western chimpanzee simian foamy virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Spumaretrovirinae;Simiispumavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056803	Western chimpanzee simian foamy virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Spumaretrovirinae;Simiispumavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056804	Western chimpanzee simian foamy virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Spumaretrovirinae;Simiispumavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056805	Western chimpanzee simian foamy virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Spumaretrovirinae;Simiispumavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056806	Western chimpanzee simian foamy virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Spumaretrovirinae;Simiispumavirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040350	Theilovirus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Caphthovirinae;Cardiovirus;Cardiovirus B	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Picornavirales	-	Picornaviridae	Caphthovirinae	Cardiovirus	-	Cardiovirus B
NP_040351	Pea early-browning virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Virgaviridae;Tobravirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Virgaviridae	-	Tobravirus	-	-
NP_040352	Pea early-browning virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Virgaviridae;Tobravirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Virgaviridae	-	Tobravirus	-	-
NP_040353	Pea early-browning virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Virgaviridae;Tobravirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Virgaviridae	-	Tobravirus	-	-
NP_040504	Avian carcinoma virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056889	Fujinami sarcoma virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056886	Rous sarcoma virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056885	Rous sarcoma virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056888	Rous sarcoma virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040549	Avian leukosis virus - RSA	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040548	Avian leukosis virus - RSA	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Alpharetrovirus;Avian leukosis virus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040551	Trichovirus mali	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Trichovirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Trichovirus	-	-
NP_040552	Trichovirus mali	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Trichovirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Trichovirus	-	-
NP_040553	Trichovirus mali	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Betaflexiviridae;Trivirinae;Trichovirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Betaflexiviridae	Trivirinae	Trichovirus	-	-
NP_040562	Bovine immunodeficiency virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040563	Bovine immunodeficiency virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040564	Bovine immunodeficiency virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040565	Bovine immunodeficiency virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040566	Bovine immunodeficiency virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056898	Bovine leukemia virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056900	Bovine leukemia virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Deltaretrovirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040753	Escherichia virus BZ13	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Levivirales;Leviviridae;Levivirus	Viruses	Riboviria	Orthornavirae	Lenarviricota	-	Leviviricetes	-	-	-	-	-	-	-	-
NP_040754	Escherichia virus BZ13	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Levivirales;Leviviridae;Levivirus	Viruses	Riboviria	Orthornavirae	Lenarviricota	-	Leviviricetes	-	-	-	-	-	-	-	-
NP_040755	Escherichia virus BZ13	Viruses;Riboviria;Orthornavirae;Lenarviricota;Leviviricetes;Levivirales;Leviviridae;Levivirus	Viruses	Riboviria	Orthornavirae	Lenarviricota	-	Leviviricetes	-	-	-	-	-	-	-	-
NP_040760	Enterovirus D	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Picornavirales;Picornaviridae;Ensavirinae;Enterovirus	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Picornavirales	-	Picornaviridae	Ensavirinae	Enterovirus	-	-
NP_056779	Hepatitis E virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Hepelivirales	-	Hepeviridae	-	-	-	-
NP_056788	Hepatitis E virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Hepelivirales;Hepeviridae	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Hepelivirales	-	Hepeviridae	-	-	-	-
NP_057861	Human T-cell leukemia virus type I	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Deltaretrovirus;Primate T-lymphotropic virus 1	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_057860	Human T-cell leukemia virus type I	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Deltaretrovirus;Primate T-lymphotropic virus 1	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_057863	Human T-cell leukemia virus type I	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Deltaretrovirus;Primate T-lymphotropic virus 1	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_059434	Japanese encephalitis virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Flasuviricetes;Amarillovirales;Flaviviridae;Orthoflavivirus;Orthoflavivirus japonicum	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Flasuviricetes	-	Amarillovirales	-	Flaviviridae	-	Orthoflavivirus	-	Orthoflavivirus japonicum
NP_040776	Cucumber mosaic virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Bromoviridae;Cucumovirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Bromoviridae	-	Cucumovirus	-	-
NP_040777	Cucumber mosaic virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Bromoviridae;Cucumovirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Bromoviridae	-	Cucumovirus	-	-
NP_040778	Narcissus mosaic virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Potexvirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Alphaflexiviridae	-	Potexvirus	-	-
NP_040779	Narcissus mosaic virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Potexvirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Alphaflexiviridae	-	Potexvirus	-	-
NP_040780	Narcissus mosaic virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Potexvirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Alphaflexiviridae	-	Potexvirus	-	-
NP_040781	Narcissus mosaic virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Potexvirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Alphaflexiviridae	-	Potexvirus	-	-
NP_040782	Narcissus mosaic virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Potexvirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Alphaflexiviridae	-	Potexvirus	-	-
NP_040783	Narcissus mosaic virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Tymovirales;Alphaflexiviridae;Potexvirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Tymovirales	-	Alphaflexiviridae	-	Potexvirus	-	-
NP_040807	Plum pox virus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Patatavirales;Potyviridae;Potyvirus;Potyvirus plumpoxi	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Stelpaviricetes	-	Patatavirales	-	Potyviridae	-	Potyvirus	-	-
NP_040822	Venezuelan equine encephalitis virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Togaviridae	-	Alphavirus	-	-
NP_040824	Venezuelan equine encephalitis virus	Viruses;Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Togaviridae;Alphavirus	Viruses	Riboviria	Orthornavirae	Kitrinoviricota	-	Alsuviricetes	-	Martellivirales	-	Togaviridae	-	Alphavirus	-	-
NP_056901	Equine infectious anemia virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056902	Equine infectious anemia virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_056903	Equine infectious anemia virus	Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae;Orthoretrovirinae;Lentivirus	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
NP_040831	Infectious bronchitis virus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Gammacoronavirus;Igacovirus;Avian coronavirus	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Gammacoronavirus	Igacovirus	Avian coronavirus
NP_040832	Infectious bronchitis virus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Gammacoronavirus;Igacovirus;Avian coronavirus	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Gammacoronavirus	Igacovirus	Avian coronavirus
NP_040833	Infectious bronchitis virus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Gammacoronavirus;Igacovirus;Avian coronavirus	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Gammacoronavirus	Igacovirus	Avian coronavirus
NP_040836	Infectious bronchitis virus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Gammacoronavirus;Igacovirus;Avian coronavirus	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Gammacoronavirus	Igacovirus	Avian coronavirus
NP_040837	Infectious bronchitis virus	Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Gammacoronavirus;Igacovirus;Avian coronavirus	Viruses	Riboviria	Orthornavirae	Pisuviricota	-	Pisoniviricetes	-	Nidovirales	Cornidovirineae	Coronaviridae	Orthocoronavirinae	Gammacoronavirus	Igacovirus	Avian coronavirus
