Accession	Virus_Name	NCBI_Taxonomy	Viruses	Realm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species
YP_009553478	Alternaria arborescens victorivirus 1	Viruses;Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae;Victorivirus	Viruses	Riboviria	Orthornavirae	Duplornaviricota	-	Chrymotiviricetes	-	Ghabrivirales	-	Totiviridae	-	Victorivirus	-	-
YP_009553487	Shinobi tetravirus	Viruses;Riboviria	Viruses	Riboviria	-	-	-	-	-	-	-	-	-	-	-	-
YP_009553488	avian paramyxovirus 20	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Metaavulavirus;Metaavulavirus kazakhstanense	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes	-	Mononegavirales	-	Paramyxoviridae	Avulavirinae	Metaavulavirus	-	Metaavulavirus kazakhstanense
YP_009553489	avian paramyxovirus 20	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Metaavulavirus;Metaavulavirus kazakhstanense	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes	-	Mononegavirales	-	Paramyxoviridae	Avulavirinae	Metaavulavirus	-	Metaavulavirus kazakhstanense
YP_009553490	avian paramyxovirus 20	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Metaavulavirus;Metaavulavirus kazakhstanense	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes	-	Mononegavirales	-	Paramyxoviridae	Avulavirinae	Metaavulavirus	-	Metaavulavirus kazakhstanense
YP_009553491	avian paramyxovirus 20	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Metaavulavirus;Metaavulavirus kazakhstanense	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes	-	Mononegavirales	-	Paramyxoviridae	Avulavirinae	Metaavulavirus	-	Metaavulavirus kazakhstanense
YP_009553492	avian paramyxovirus 20	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Metaavulavirus;Metaavulavirus kazakhstanense	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes	-	Mononegavirales	-	Paramyxoviridae	Avulavirinae	Metaavulavirus	-	Metaavulavirus kazakhstanense
YP_009553493	avian paramyxovirus 20	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Metaavulavirus;Metaavulavirus kazakhstanense	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes	-	Mononegavirales	-	Paramyxoviridae	Avulavirinae	Metaavulavirus	-	Metaavulavirus kazakhstanense
YP_009553494	avian paramyxovirus 20	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Metaavulavirus;Metaavulavirus kazakhstanense	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes	-	Mononegavirales	-	Paramyxoviridae	Avulavirinae	Metaavulavirus	-	Metaavulavirus kazakhstanense
YP_009553495	avian paramyxovirus 20	Viruses;Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Paramyxoviridae;Avulavirinae;Metaavulavirus;Metaavulavirus kazakhstanense	Viruses	Riboviria	Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes	-	Mononegavirales	-	Paramyxoviridae	Avulavirinae	Metaavulavirus	-	Metaavulavirus kazakhstanense
